Kategorie;Tool/Chart;Verwendete Version (Sheet);Ziel-Version;Artefakt;Download-URL (direkt);Changelog/Release-URL;SHA-256;Verifikation;Bekannte CVEs;Severity/Status
CLI;AWS CLI v2;2.17.35;latest (Stand 2026-07-21, z.B. 2.35.14);awscli-exe-linux-x86_64.zip (70 MB) + .7z (40 MB);https://awscli.amazonaws.com/awscli-exe-linux-x86_64.zip;https://github.com/aws/aws-cli/blob/v2/CHANGELOG.rst;39e29fde031e6122450dcbfc56daa6ada27a3a2ade3f1202c2fd3d7684f3a6e1 (.7z);lokal (.sha256.local) - AWS liefert nur GPG .sig;CVE-2026-13769 (world-readable Credential-Files, betroffen v2 <= 2.34.28, Fix 2.34.29);Medium (lokal) - 2.17.35 BETROFFEN, Ziel-Version OK
CLI;Helm;3.17.3;3.21.2;helm Binary (56 MB, ELF x86-64) aus tar.gz;https://get.helm.sh/helm-v3.21.2-linux-amd64.tar.gz + Release-Seite: https://github.com/helm/helm/releases/tag/v3.21.2;https://github.com/helm/helm/releases/tag/v3.21.2;;Upstream .sha256 verifiziert;CERT-Bund WID-SEC-2026-1048 (u.a. CVE-2026-35204, CVE-2026-35206; betroffen < 3.20.2 bzw. < 4.1.4);Hoch (CVSS 8.6) - 3.17.3 BETROFFEN, 3.21.2 OK
CLI;ArgoCD CLI;2.14.7 (?);3.4.4;argocd Binary;https://github.com/argoproj/argo-cd/releases/download/v3.4.4/argocd-linux-amd64;https://github.com/argoproj/argo-cd/releases/tag/v3.4.4;;kein Upstream-Checksum pro Datei;CVE-2026-42880 (ServerSideDiff, Fix-Status pruefen!) + CVE-2026-43824 (Secret-Disclosure, betroffen 3.2.0-3.2.10 / 3.3.0-3.3.8, Fix 3.2.11/3.3.9);Kritisch 9.6 + Hoch 7.7 - 2.14.7 EOL/mehrfach betroffen, 3.4.4 fuer 43824 OK, 42880 pruefen
CLI;SOPS;3.7.2;3.13.2;sops Binary (50 MB);https://github.com/getsops/sops/releases/download/v3.13.2/sops-v3.13.2.linux.amd64;https://github.com/getsops/sops/releases/tag/v3.13.2;154dfe4cd70554bdd82b98e4cd4acf191d43d01ead6f00a73477aa44c4ac42ef;Upstream checksums.txt verifiziert;keine relevanten CVEs bekannt (Stand 2026-07-22);OK
Pip-Paket;boto3;1.35.25;1.43.30 (?);PyPI Wheel;https://pypi.org/project/boto3/;https://github.com/boto/boto3/blob/develop/CHANGELOG.rst;;pip hash-Verifikation moeglich (pip download --require-hashes);keine direkten CVEs bekannt;OK
Pip-Paket;PyYAML;6.0.2;6.0.2;PyPI Wheel;https://pypi.org/project/PyYAML/;https://github.com/yaml/pyyaml/blob/main/CHANGES;;pip hash-Verifikation moeglich;keine CVEs fuer >= 5.4 (CVE-2020-14343 nur < 5.4);OK
Pip-Paket;requests;2.29.0;2.32.4;PyPI Wheel;https://pypi.org/project/requests/;https://github.com/psf/requests/blob/main/HISTORY.md;;pip hash-Verifikation moeglich;CVE-2023-32681 (Proxy-Auth-Leak, Fix 2.31.0) + CVE-2024-35195 (Cert-Verify, Fix 2.32.0) + CVE-2024-47081 (netrc-Leak, Fix 2.32.4);Medium (6.1 / 5.6 / 5.3) - 2.29.0 BETROFFEN (alle drei), 2.32.4 OK
Binary;oc (OpenShift CLI);4.14.0;4.21.16 (?);oc Binary;https://mirror.openshift.com/pub/openshift-v4/clients/ocp/;https://docs.openshift.com/;;;nicht recherchiert (auf Wunsch nachliefern);pruefen
Binary;yq;4.35.1 (?);4.53.3 (?);yq Binary;https://github.com/mikefarah/yq/releases;https://github.com/mikefarah/yq/releases;;;keine relevanten CVEs bekannt;OK
Binary;vault;1.17.5;1.17.5 (?);vault Binary;https://releases.hashicorp.com/vault/;https://github.com/hashicorp/vault/blob/main/CHANGELOG.md;;;nicht recherchiert - HashiCorp-Advisories pruefen (mehrere CVEs in 1.17.x-Serie bekannt);pruefen
Image;UBI 8 (Basis-Image);8;8 (latest);Container-Image;https://catalog.redhat.com/software/containers/ubi8/;https://access.redhat.com/errata;;;laufende RHSA-Errata - Red Hat Security Advisories pruefen;pruefen (Errata-Stand)
Image;k8s-sidecar;1.28;2.0.1 (?);Container-Image;https://github.com/kiwigrid/k8s-sidecar/releases;https://github.com/kiwigrid/k8s-sidecar/releases;;;nicht recherchiert;pruefen
Helm-Chart;alertmanager;1.16.2 (Chart, Sheet);1.40.2;alertmanager-1.40.2.tgz (16 KB);(Upload nach JFrog Artifactory via scripts/upload-helm-charts.sh);https://github.com/prometheus-community/helm-charts/releases;;X-Checksum-Sha256 beim Upload;App-CVEs siehe Alertmanager-Releases (Ziel-App 0.28.x);pruefen
Helm-Chart;grafana;7.3.12 (Chart, Sheet);10.5.15;grafana-10.5.15.tgz (50 KB);(Upload nach JFrog Artifactory via scripts/upload-helm-charts.sh);https://github.com/grafana/helm-charts/tree/main/charts/grafana;;X-Checksum-Sha256 beim Upload;App-CVEs siehe Grafana Security Releases;pruefen
Helm-Chart;thanos;12.99.0 (Chart, Sheet);17.3.1;thanos-17.3.1.tgz (224 KB);(Upload nach JFrog Artifactory via scripts/upload-helm-charts.sh);https://github.com/bitnami/charts/tree/main/bitnami/thanos;;X-Checksum-Sha256 beim Upload;App-CVEs siehe Thanos-Releases;pruefen
